Nome percorso;Identificativo;Tipo;Fondo;Lunghezza;Tipo percorso (comunale, provinciale, ecc.);Nome
Graspo del Moro;;Sentiero;Terra;37 km;Comunale;
Cicolovia del Sole;;Ciclabile;Asfalto;7400 km;Regionale;
Cicolovia Celeste Bianchi;;Ciclabile;Asfalto;98 km;Regionale;
Terra/Lago;;Ciclostrada;Misto;;Provinciale;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
