Nome percorso;Identificativo;Tipo;Fondo;Lunghezza;Tipo percorso (comunale, provinciale, ecc.);Nome
Cammina Custoza;;Pedonale;Terra;9 km;Comunale;
Tamburino Sardo;;Ciclopedonale;Terra;3 km;Comunale;
Percorsi della storia - Battaglie del 1948 e 1866;;Strada;Misto;10 km;Comunale;
Sentiero della Pace;;Strada;Asfalto;2 km;Comunale;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
